AlbumId,Title,Name,nbAlbum
1,For Those About To Rock We Salute You,AC/DC,2
2,Balls to the Wall,Accept,2
5,Big Ones,Aerosmith,1
6,Jagged Little Pill,Alanis Morissette,1
7,Facelift,Alice In Chains,1
8,Warner 25 Anos,Antônio Carlos Jobim,2
9,Plays Metallica By Four Cellos,Apocalyptica,1
10,Audioslave,Audioslave,3
12,BackBeat Soundtrack,BackBeat,1
13,The Best Of Billy Cobham,Billy Cobham,1
14,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society,2
16,Black Sabbath,Black Sabbath,2
18,Body Count,Body Count,1
19,Chemical Wedding,Bruce Dickinson,1
20,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy,1
21,Prenda Minha,Caetano Veloso,2
23,Minha Historia,Chico Buarque,1
24,Afrociberdelia,Chico Science & Nação Zumbi,2
26,Acústico MTV [Live],Cidade Negra,2
28,Na Pista,Cláudio Zoli,1
29,Axé Bahia 2001,Various Artists,4
30,BBC Sessions [Disc 1] [Live],Led Zeppelin,14
31,Bongo Fury,Frank Zappa & Captain Beefheart,1
33,Chill: Brazil (Disc 1),Marcos Valle,1
85,As Canções de Eu Tu Eles,Gilberto Gil,3
259,Radio Brasil (O Som da Jovem Vanguarda) - Seleccao de Henrique Amaro,O Rappa,1
47,The Best of Ed Motta,Ed Motta,1
71,Elis Regina-Minha História,Elis Regina,1
158,Milton Nascimento Ao Vivo,Milton Nascimento,2
122,Jorge Ben Jor 25 Anos,Jorge Ben,1
35,Garage Inc. (Disc 1),Metallica,10
36,Greatest Hits II,Queen,3
37,Greatest Kiss,Kiss,2
38,Heart of the Night,Spyro Gyra,2
39,International Superhits,Green Day,2
40,Into The Light,David Coverdale,1
41,Meus Momentos,Gonzaguinha,1
42,Minha História,Os Mutantes,1
43,MK III The Final Concerts [Disc 1],Deep Purple,11
46,Supernatural,Santana,3
48,The Essential Miles Davis [Disc 1],Miles Davis,3
51,Up An' Atom,Gene Krupa,1
52,Vinícius De Moraes - Sem Limite,Toquinho & Vinícius,1
247,Vinicius De Moraes,Vinícius De Moraes,1
54,"Chronicle, Vol. 1",Creedence Clearwater Revival,2
56,Cássia Eller - Coleção Sem Limite [Disc 2],Cássia Eller,2
67,Vault: Def Leppard's Greatest Hits,Def Leppard,1
68,Outbreak,Dennis Chambers,1
